Comment Date,Comment
"Oct 6, 2019, 4:03:54 AM",Beast move 
"Oct 19, 2019, 5:22:03 PM",Animal!
"Oct 24, 2019, 2:53:30 AM",Man is focused!
"Nov 10, 2019, 8:55:42 PM",Snack time! 
"Dec 4, 2019, 12:21:57 AM",Ran through the beacons?
"Dec 7, 2019, 8:47:28 PM",Good luck!
"Feb 2, 2020, 11:31:26 PM",Congrats!!! 
"Feb 18, 2020, 4:37:14 PM",triggered by effort 77195729621 on segment 2785273
"Feb 23, 2020, 1:04:45 AM",Stretching and ample rest! 
"Feb 23, 2020, 9:18:21 PM","Beautiful route, I’m surprised there’s already such a big bloom "
"Mar 4, 2020, 3:33:36 AM",Sent mine in via fax!
"Mar 8, 2020, 7:14:36 AM",“New Balance Beacon V1”
"Mar 17, 2020, 3:44:10 AM",Another double. Animal 
"Mar 18, 2020, 7:53:42 PM",Absolute madman 
"Mar 19, 2020, 5:46:23 PM",That’s my kind of run 
"Mar 29, 2020, 3:00:57 AM",[strava://athletes/46586101/13]Bailey Diemer one wrong turn really got the balls rolling haha 
"Apr 7, 2020, 7:09:29 PM",Very aesthetic photos 
"Apr 12, 2020, 6:03:13 PM",Wow good work!
"May 24, 2020, 12:08:53 AM","[strava://athletes/18668811/11]Cole Diemer unfortunately not, it was super foggy up the mountain "
"Sep 13, 2020, 2:39:49 AM",Unreal!
"Sep 23, 2020, 10:53:45 PM",Mad man! 
"Nov 5, 2020, 7:46:24 PM",I’m slower on a bike 
"Nov 5, 2020, 10:38:46 PM",We can see how many circles we can run at the peace arch park and not have to cross any borders 👀 
"Jan 28, 2021, 6:44:34 AM",[strava://athletes/72197302/15]Michelle Gorkie we’ll see if I can ever maintain it 😂
"Feb 14, 2021, 4:39:50 PM","[strava://athletes/72197302/15]Michelle Gorkie no snow on this ride, just some ice "
"Feb 17, 2021, 8:37:00 PM",[strava://athletes/18668811/11]Cole Diemer Im not so sure how much I trust the garmin altimeter but I’ll take it haha 
"Mar 31, 2021, 4:39:24 AM",[strava://athletes/18668811/11]Cole Diemer just overuse I think. Pain changes day by day so I’m trying to slowly ween back into pain free running 
"Apr 1, 2021, 11:27:10 PM",🐉
"Apr 12, 2021, 2:12:21 AM",Animal
"Apr 17, 2021, 12:21:24 AM",Get off your e bike 
"Apr 17, 2021, 12:40:45 AM",Better is better! 
"Apr 20, 2021, 2:43:25 AM",Yeeesh
"Apr 23, 2021, 12:01:39 AM",Good luck!
"Apr 23, 2021, 9:24:56 AM",I think you meant strudel 
"Apr 26, 2021, 3:27:45 AM",Daily double! 
"Apr 28, 2021, 6:02:57 PM",Yeesh nice pace! 
"May 3, 2021, 9:18:22 PM",[strava://athletes/29778079/13]Jordan Nevens gotta love Monday’s! 
"May 11, 2021, 7:51:41 PM","Yeah buddy! Gonna be sick watching your progress, good luck with the training "
"May 13, 2021, 7:35:27 PM",Congrats!!
"May 13, 2021, 11:35:56 PM",Good work! 
"May 18, 2021, 2:55:51 PM",[strava://athletes/48468031/10]Jake Misky it’s the California special 
"May 18, 2021, 3:50:05 PM",[strava://athletes/78831211/9]Erik Dahl the double dabble algorithm is what got me across the water 
"May 20, 2021, 7:03:56 PM",I hope you took the green trail at the fork 
"May 20, 2021, 7:04:10 PM",Big gravel guy 
"May 30, 2021, 8:36:00 PM",[strava://athletes/18668811/11]Cole Diemer for real! 
"May 30, 2021, 8:36:24 PM",[strava://athletes/78831211/9]Erik Dahl the California coast is a special place! 
"Jun 27, 2021, 4:37:54 PM",[strava://athletes/47011529/11]Ryan Hunter for real! The lineup is insanely packed here tho 
"Jul 5, 2021, 7:05:59 PM",[strava://athletes/29778079/13]Jordan Nevens we gotta hit Tofino when I’m back then! 
"Jul 6, 2021, 5:09:29 PM",You really did it 
"Jul 6, 2021, 5:09:51 PM",It was only a matter of time 
"Jul 12, 2021, 6:08:07 PM",[strava://athletes/78831211/9]Erik Dahl once the border opens for you I’m in. Probably the most beautiful ride I’ve ever had 
"Aug 11, 2021, 1:25:44 PM","[strava://athletes/60464770/11]Harry Riley yessir, I’m taking the Amtrak back to Seattle today"
"Aug 18, 2021, 1:32:01 AM",[strava://athletes/29778079/13]Jordan Nevens thanks man! 
"Aug 18, 2021, 1:32:18 AM",[strava://athletes/48004384/10]Ivan Zhang not as much as I was hoping haha 
"Aug 25, 2021, 2:31:28 PM",Legend 
"Sep 8, 2021, 10:04:13 PM",A true classic 
"Sep 10, 2021, 4:30:39 AM",I was just looking for a new pet prospect 
"Sep 10, 2021, 1:30:39 PM",Hell yeah 
"Sep 16, 2021, 12:24:50 AM",[strava://athletes/48004384/10]Ivan Zhang hills 😍
"Sep 22, 2021, 4:02:09 AM",Atta boy!
"Sep 22, 2021, 4:02:36 AM",Hills!
"Sep 24, 2021, 3:52:39 PM",So good. So warm 
"Sep 24, 2021, 4:37:49 PM",[strava://athletes/29778079/13]Jordan Nevens hell yeah! 
"Sep 24, 2021, 5:58:12 PM",[strava://athletes/78831211/9]Erik Dahl [strava://athletes/29778079/13]Jordan Nevens dibs front. I don’t really want a heel to the chin 
"Sep 28, 2021, 10:00:31 PM",Incredible transition time 
"Oct 7, 2021, 8:09:17 PM","[strava://athletes/72197302/19]Michelle Gorkunberg Pretty warm apart from my face and feet, my wetsuit keeps me generally comfortable. This will prob be different in a month lol "
"Oct 7, 2021, 8:12:25 PM",[strava://athletes/72197302/19]Michelle Gorkunberg Oh sweet I'll check those out! Thanks!
"Oct 8, 2021, 11:06:32 PM",Speedy boy 
"Oct 10, 2021, 11:13:50 PM",Hahaha
"Oct 12, 2021, 6:47:49 PM",[strava://athletes/24872506/10]Casey Hill 😂
"Oct 22, 2021, 10:16:25 PM","[strava://athletes/24872506/10]Casey Hill nah I’m just bumming my roommates for now. The free hub on mine is broken, gotta buy a new wheel!"
"Oct 24, 2021, 3:51:19 PM",Beast! 
"Oct 24, 2021, 3:51:40 PM",Cold blooded!
"Oct 25, 2021, 5:17:53 PM",[strava://athletes/78831211/9]Erik Dahl recorded so we didn’t get completely lost 😂
"Oct 27, 2021, 8:44:31 PM",Good work!
"Oct 29, 2021, 2:41:25 AM",Truly invigorating
"Oct 30, 2021, 1:28:13 AM",All from a stick??
"Oct 31, 2021, 2:24:02 AM",[strava://athletes/39025827/6]Adam S thanks man!
"Nov 1, 2021, 5:13:41 AM",Good work! 
"Nov 8, 2021, 1:30:26 AM",[strava://athletes/78831211/9]Erik Dahl I felt too good to stop haha 
"Nov 8, 2021, 1:32:57 AM",Very well rested adam 
"Nov 22, 2021, 2:41:12 AM",🔥👑
"Dec 25, 2021, 12:10:06 AM",[strava://athletes/57961903/11]Sarah Kelly I wish I could swim that fast. I paddleboarded 
