Following Athlete ID,Follow Status,Created At
18668811,Accepted,"Sep 15, 2019, 4:54:45 PM"
46586101,Accepted,"Sep 18, 2019, 9:59:37 PM"
47011529,Accepted,"Oct 7, 2019, 4:57:47 PM"
22735634,Accepted,"Oct 12, 2019, 9:25:41 PM"
49707932,Accepted,"Jan 7, 2020, 5:21:58 AM"
12839971,Accepted,"Mar 20, 2020, 1:18:17 AM"
642112,Pending,"Mar 20, 2020, 6:44:50 PM"
38047564,Accepted,"Apr 9, 2020, 6:52:28 PM"
52693243,Accepted,"Apr 24, 2020, 2:59:06 AM"
60464770,Accepted,"Jun 5, 2020, 5:07:21 AM"
29778079,Accepted,"Jun 5, 2020, 11:13:36 PM"
48004384,Accepted,"Jun 8, 2020, 1:05:47 AM"
50552574,Accepted,"Jun 18, 2020, 1:35:51 AM"
57961903,Accepted,"Sep 4, 2020, 2:42:12 PM"
48468031,Accepted,"Sep 8, 2020, 9:09:19 PM"
44662524,Accepted,"Sep 12, 2020, 6:10:48 AM"
68274585,Accepted,"Oct 11, 2020, 2:30:20 PM"
72197302,Accepted,"Dec 8, 2020, 7:32:19 PM"
78831211,Accepted,"Feb 19, 2021, 6:49:44 PM"
78537237,Accepted,"Apr 11, 2021, 5:58:54 PM"
80338628,Accepted,"Apr 26, 2021, 3:17:05 AM"
80934957,Accepted,"Apr 26, 2021, 3:17:13 AM"
2513942,Accepted,"Jun 1, 2021, 9:59:39 PM"
56718735,Accepted,"Jun 10, 2021, 11:28:51 PM"
83687267,Accepted,"Jun 10, 2021, 11:39:33 PM"
86770954,Accepted,"Jul 7, 2021, 3:02:09 PM"
75964559,Accepted,"Jul 15, 2021, 4:06:27 AM"
43832657,Accepted,"Jul 15, 2021, 4:07:26 AM"
41991292,Accepted,"Jul 24, 2021, 3:32:48 AM"
14683943,Accepted,"Aug 23, 2021, 1:44:12 AM"
63186025,Accepted,"Aug 25, 2021, 9:33:15 PM"
55806453,Accepted,"Sep 2, 2021, 12:01:48 AM"
24872506,Accepted,"Sep 7, 2021, 9:26:45 AM"
39025827,Accepted,"Sep 27, 2021, 8:24:58 PM"
15536575,Accepted,"Oct 5, 2021, 2:46:25 AM"
10184243,Accepted,"Oct 6, 2021, 12:46:58 AM"
47384917,Accepted,"Oct 6, 2021, 4:18:17 AM"
91223014,Accepted,"Oct 15, 2021, 8:46:39 PM"
52841877,Accepted,"Nov 14, 2021, 6:33:56 PM"
