Promotion Seen,Timestamp
Feed Follow Option Coachmark,1591841497
Grade Adjusted Pace Activity Detail Upsell,1599136437
Grade Adjusted Pace Activity Detail Upsell,1599628061
Grade Adjusted Pace Activity Detail Upsell,1600788512
Grade Adjusted Pace Activity Detail Upsell,1600804950
Grade Adjusted Pace Activity Detail Upsell,1601136412
Grade Adjusted Pace Activity Detail Upsell,1601186273
Grade Adjusted Pace Activity Detail Upsell,1602426647
Grade Adjusted Pace Activity Detail Upsell,1608942456
Grade Adjusted Pace Activity Detail Upsell,1614437910
Grade Adjusted Pace Activity Detail Upsell,1614437931
Grade Adjusted Pace Activity Detail Upsell,1618714297
Grade Adjusted Pace Activity Detail Upsell,1618714413
Grade Adjusted Pace Activity Detail Upsell,1619712594
Grade Adjusted Pace Activity Detail Upsell,1622591963
Grade Adjusted Pace Activity Detail Upsell,1622675265
Grade Adjusted Pace Activity Detail Upsell,1622736527
Grade Adjusted Pace Activity Detail Upsell,1623028291
Grade Adjusted Pace Activity Detail Upsell,1623526540
Grade Adjusted Pace Activity Detail Upsell,1623564515
Grade Adjusted Pace Activity Detail Upsell,1624220465
Grade Adjusted Pace Activity Detail Upsell,1624220467
Grade Adjusted Pace Activity Detail Upsell,1624224384
Grade Adjusted Pace Activity Detail Upsell,1624229582
Grade Adjusted Pace Activity Detail Upsell,1625159920
Grade Adjusted Pace Activity Detail Upsell,1625195139
Grade Adjusted Pace Activity Detail Upsell,1625390943
Grade Adjusted Pace Activity Detail Upsell,1626068442
Grade Adjusted Pace Activity Detail Upsell,1626068458
Grade Adjusted Pace Activity Detail Upsell,1628168144
Grade Adjusted Pace Activity Detail Upsell,1628168159
Grade Adjusted Pace Activity Detail Upsell,1630630348
Grade Adjusted Pace Activity Detail Upsell,1631406239
Grade Adjusted Pace Activity Detail Upsell,1632005535
Grade Adjusted Pace Activity Detail Upsell,1632005882
Grade Adjusted Pace Activity Detail Upsell,1632005900
Grade Adjusted Pace Activity Detail Upsell,1632007621
Grade Adjusted Pace Activity Detail Upsell,1632012516
Grade Adjusted Pace Activity Detail Upsell,1632012527
Grade Adjusted Pace Activity Detail Upsell,1632012552
Grade Adjusted Pace Activity Detail Upsell,1632283358
Grade Adjusted Pace Activity Detail Upsell,1632283369
Grade Adjusted Pace Activity Detail Upsell,1632320032
Grade Adjusted Pace Activity Detail Upsell,1632954678
Grade Adjusted Pace Activity Detail Upsell,1632954793
Grade Adjusted Pace Activity Detail Upsell,1632954816
Grade Adjusted Pace Activity Detail Upsell,1632954820
Grade Adjusted Pace Activity Detail Upsell,1632954824
Grade Adjusted Pace Activity Detail Upsell,1632954830
Grade Adjusted Pace Activity Detail Upsell,1632954911
Grade Adjusted Pace Activity Detail Upsell,1632958474
Grade Adjusted Pace Activity Detail Upsell,1633312710
Grade Adjusted Pace Activity Detail Upsell,1634146427
Grade Adjusted Pace Activity Detail Upsell,1636833618
Grade Adjusted Pace Activity Detail Upsell,1637164453
Grade Adjusted Pace Activity Detail Upsell,1637618394
Grade Adjusted Pace Activity Detail Upsell,1638335470
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1598392598
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1599075395
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1599075396
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1599230574
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1599230581
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1599230582
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1615677828
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1616945830
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1617408566
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_SHARE_FEATURE_ED"">Evergreen Stats Share Feature Ed</span>",1619448345
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_HOME"">Navigation Tab Home</span>",1620426740
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS"">Navigation Tab Maps</span>",1620426746
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS"">Navigation Tab Groups</span>",1620426788
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU"">Navigation Tab You</span>",1620426797
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROGRESS"">Navigation Tab You Progress</span>",1620426796
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_ACTIVITIES"">Navigation Tab You Activities</span>",1621796275
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROFILE"">Navigation Tab You Profile</span>",1621796277
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SEGMENTS"">Navigation Tab Maps Segments</span>",1620426745
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_ROUTES"">Navigation Tab Maps Routes</span>",1620426760
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS_SAVED"">Navigation Tab Maps Saved</span>",1620426762
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_ACTIVE"">Navigation Tab Groups Active</span>",1620426787
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_CHALLENGES"">Navigation Tab Groups Challenges</span>",1620426793
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS_CLUBS"">Navigation Tab Groups Clubs</span>",1620426795
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620426740
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620429168
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620440001
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620440004
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620457731
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_HOME_EDUCATION_COACHMARK_IMPRESSION"">Navigation Home Education Coachmark Impression</span>",1620489467
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1620426796
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1620429132
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1621796272
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1622434115
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_YOU_PROGRESS_EDUCATION_COACHMARK_IMPRESSION"">Navigation You Progress Education Coachmark Impression</span>",1625512377
